# Time-averaged data for fix dave
# TimeStep v_rho
1068000 0.803238
1069000 0.80324
1070000 0.803237
1071000 0.80323
1072000 0.80323
1073000 0.803213
1074000 0.803216
1075000 0.803206
1076000 0.803184
1077000 0.803169
1078000 0.803167
1079000 0.803156
1080000 0.803151
1081000 0.803163
1082000 0.80318
1083000 0.803203
1084000 0.803228
1085000 0.803261
1086000 0.803281
1087000 0.803292
1088000 0.803313
1089000 0.803322
1090000 0.803328
1091000 0.803349
1092000 0.803365
1093000 0.803385
1094000 0.803409
1095000 0.803425
1096000 0.803444
1097000 0.803443
1098000 0.803439
1099000 0.803432
1100000 0.803423
1101000 0.803417
1102000 0.803411
1103000 0.8034
1104000 0.803388
1105000 0.803407
1106000 0.803428
1107000 0.803443
1108000 0.803453
1109000 0.803446
1110000 0.803431
1111000 0.80343
1112000 0.803438
1113000 0.803428
1114000 0.803412
1115000 0.803417
1116000 0.803417
1117000 0.803417
1118000 0.803427
1119000 0.803437
1120000 0.803445
1121000 0.803452
1122000 0.803461
1123000 0.803464
1124000 0.803469
1125000 0.80347
1126000 0.80347
1127000 0.803471
1128000 0.803472
1129000 0.803479
1130000 0.803491
1131000 0.803488
1132000 0.803479
1133000 0.803476
1134000 0.80348
1135000 0.803491
1136000 0.8035
1137000 0.803504
1138000 0.80352
1139000 0.803522
1140000 0.80354
1141000 0.803549
1142000 0.803563
1143000 0.803571
1144000 0.803574
1145000 0.803577
1146000 0.803591
1147000 0.803601
1148000 0.803604
1149000 0.803615
1150000 0.803626
1151000 0.803639
1152000 0.803658
1153000 0.803665
1154000 0.803682
1155000 0.803699
1156000 0.803717
1157000 0.803741
1158000 0.803752
1159000 0.803753
1160000 0.803763
1161000 0.803752
1162000 0.803741
1163000 0.803737
1164000 0.803735
1165000 0.803729
1166000 0.803718
1167000 0.803704
1168000 0.803699
1169000 0.803705
1170000 0.803699
1171000 0.803703
1172000 0.803713
1173000 0.803722
1174000 0.803735
1175000 0.803747
1176000 0.803746
1177000 0.803754
1178000 0.803776
1179000 0.803781
1180000 0.803781
1181000 0.803785
1182000 0.803783
1183000 0.803794
1184000 0.803799
1185000 0.803797
1186000 0.803804
1187000 0.803812
1188000 0.803832
1189000 0.803841
1190000 0.803834
1191000 0.803837
1192000 0.803832
1193000 0.803832
1194000 0.803837
1195000 0.803844
1196000 0.803855
1197000 0.803855
1198000 0.803854
1199000 0.803854
1200000 0.803865
1201000 0.803878
1202000 0.80389
1203000 0.803892
1204000 0.803898
1205000 0.803913
1206000 0.803929
1207000 0.803931
1208000 0.803954
1209000 0.803977
1210000 0.803999
1211000 0.804013
1212000 0.80402
1213000 0.804011
1214000 0.804009
1215000 0.804007
1216000 0.804006
1217000 0.804001
1218000 0.804006
1219000 0.804007
1220000 0.804006
1221000 0.804002
1222000 0.80399
1223000 0.803983
1224000 0.803977
1225000 0.803963
1226000 0.803965
1227000 0.803981
1228000 0.803985
1229000 0.803984
1230000 0.80398
1231000 0.803976
1232000 0.803968
1233000 0.803974
1234000 0.803984
1235000 0.803992
1236000 0.804005
1237000 0.804019
1238000 0.804033
1239000 0.804039
1240000 0.804053
1241000 0.804063
1242000 0.804071
1243000 0.804065
1244000 0.804061
1245000 0.804061
1246000 0.804074
1247000 0.804089
1248000 0.804105
1249000 0.804117
1250000 0.804128
