,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,PourPoint,DiffusionCoefficient,Density40C
319,CCCCCCc1ccccc1CC(C)CCc1cccc(CCC)c1,<rdkit.Chem.rdchem.Mol object at 0x14e096168d60>,"['RemoveAtom', 'ReplaceBond', 'RemoveAtom']",26,Generation_9_Molecule_319,-0.00000,350.59000000000003,<rdkit.Chem.rdchem.Mol object at 0x14e0961683c0>,,,,,,,,,,,,
320,CCCCCCCCCC(CC)CCCCCC(CC)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x14e09615f7b0>,"['AddAtom', 'InsertAromatic', 'InsertAromatic']",26,Generation_9_Molecule_320,-0.00000,358.654,<rdkit.Chem.rdchem.Mol object at 0x14e0961d64a0>,,,,,,,,,,,,
321,C=C(CCCCCCCC(CC)CCC)CCCCCC(C)O,<rdkit.Chem.rdchem.Mol object at 0x14e09615fd60>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",23,Generation_9_Molecule_321,-0.00000,324.59299999999996,<rdkit.Chem.rdchem.Mol object at 0x14e09615fcf0>,,,,,,,,,,,,
322,CC=CC(CCCC=CCCCCCC(=O)CCCC)OC,<rdkit.Chem.rdchem.Mol object at 0x14e09615f580>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",22,Generation_9_Molecule_322,-0.00000,308.506,<rdkit.Chem.rdchem.Mol object at 0x14e09615f660>,,,,,,,,,,,,
323,C=CC(CCC)CCCCC=CC(C)CCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x14e0961670b0>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",23,Generation_9_Molecule_323,-0.00000,320.605,<rdkit.Chem.rdchem.Mol object at 0x14e0961c4b30>,,,,,,,,,,,,
324,C=C(CCCCCCC)CCCCCCCC(CC)CCC,<rdkit.Chem.rdchem.Mol object at 0x14e096167580>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",22,Generation_9_Molecule_324,-0.00000,308.59399999999994,<rdkit.Chem.rdchem.Mol object at 0x14e096167430>,,,,,,,,,,,,
325,CC=CC(CC)CCC(CC)CCCCCCCCCCCCCCCC(=O)CCC,<rdkit.Chem.rdchem.Mol object at 0x14e096167270>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",31,Generation_9_Molecule_325,-0.00000,434.793,<rdkit.Chem.rdchem.Mol object at 0x14e096168f90>,,,,,,,,,,,,
326,CCC(O)CCCCOCCc1cccc(CCCOC)c1,<rdkit.Chem.rdchem.Mol object at 0x14e096167820>,"['RemoveAtom', 'ReplaceBond', 'AddAtom']",22,Generation_9_Molecule_326,0.00000,308.462,<rdkit.Chem.rdchem.Mol object at 0x14e0961672e0>,,,,,,,,,,,,
327,CC=C(CCC)CCCCC=CC(C)CCCOCCCCC,<rdkit.Chem.rdchem.Mol object at 0x14e0961674a0>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",23,Generation_9_Molecule_327,-0.00000,322.577,<rdkit.Chem.rdchem.Mol object at 0x14e0961d63c0>,,,,,,,,,,,,
328,CC=CC(CC)Cc1cccc(CCCCCCCCCC(C)CC=CCC)c1,<rdkit.Chem.rdchem.Mol object at 0x14e0961673c0>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",29,Generation_9_Molecule_328,-0.00000,396.703,<rdkit.Chem.rdchem.Mol object at 0x14e09615f200>,,,,,,,,,,,,
329,CCOCCCCCCCCc1ccc(CC(=O)CCO)cc1O,<rdkit.Chem.rdchem.Mol object at 0x14e096167890>,"['RemoveAtom', 'ReplaceAtom', 'AddAtom']",24,Generation_9_Molecule_329,-0.00000,336.472,<rdkit.Chem.rdchem.Mol object at 0x14e0961d8510>,,,,,,,,,,,,
330,CCCC(CCCCO)CCCCCCCC(O)CCCC(CC)CCCCCc1ccccc1CCO,<rdkit.Chem.rdchem.Mol object at 0x14e0961680b0>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",38,Generation_10_Molecule_330,-0.00000,532.894,<rdkit.Chem.rdchem.Mol object at 0x14e0961dd900>,,,,,,,,,,,,
331,CCCCC(=O)C(CC=CCCCCCCCC(CC)CCCCCc1ccccc1CCO)CCC,<rdkit.Chem.rdchem.Mol object at 0x14e09615feb0>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",37,Generation_10_Molecule_331,-0.00000,512.863,<rdkit.Chem.rdchem.Mol object at 0x14e09615fac0>,,,,,,,,,,,,
332,CCCCCC(CCC)CCCC(CO)CCCCCCCCCCCC(=O)Cc1ccccc1CCO,<rdkit.Chem.rdchem.Mol object at 0x14e09615f970>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",38,Generation_10_Molecule_332,-0.00000,530.8779999999999,<rdkit.Chem.rdchem.Mol object at 0x14e0961dddd0>,,,,,,,,,,,,
333,CCCCCC(CCC)CCCCCCCC(O)CCCC(C=CCCc1ccccc1CCO)CC,<rdkit.Chem.rdchem.Mol object at 0x14e096167190>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",37,Generation_10_Molecule_333,-0.00000,514.879,<rdkit.Chem.rdchem.Mol object at 0x14e0961687b0>,,,,,,,,,,,,
334,CCCCCC(CCC)CCCCc1ccccc1CCCCCCCC(CC)CCCCCc1ccccc1CCO,<rdkit.Chem.rdchem.Mol object at 0x14e0961677b0>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",43,Generation_10_Molecule_334,-0.00000,591.021,<rdkit.Chem.rdchem.Mol object at 0x14e0961cddd0>,,,,,,,,,,,,
335,CC=C(CCCCCCCCCCCCCc1ccccc1CCO)CCCC(CCC)CCCCC,<rdkit.Chem.rdchem.Mol object at 0x14e0961675f0>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",37,Generation_10_Molecule_335,-0.00000,512.9069999999999,<rdkit.Chem.rdchem.Mol object at 0x14e0961dd7b0>,,,,,,,,,,,,
336,CCCCCCCCCCCCCC(CCCCCCCCCCCc1ccccc1CCO)C(CCC)CCCCC,<rdkit.Chem.rdchem.Mol object at 0x14e096167040>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",43,Generation_10_Molecule_336,-0.00000,599.085,<rdkit.Chem.rdchem.Mol object at 0x14e0961dd740>,,,,,,,,,,,,
337,CCCCCC(CCC)CCCC(C)CCCCCCCCC=CCCc1ccccc1CCO,<rdkit.Chem.rdchem.Mol object at 0x14e09615f890>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",35,Generation_10_Molecule_337,-0.00000,484.853,<rdkit.Chem.rdchem.Mol object at 0x14e0961676d0>,,,,,,,,,,,,
338,CC=C(CCCCC=CCCCCCC(CCC)CCCCC)CCCCc1ccccc1CCO,<rdkit.Chem.rdchem.Mol object at 0x14e09615f2e0>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",36,Generation_10_Molecule_338,-0.00000,496.86400000000003,<rdkit.Chem.rdchem.Mol object at 0x14e0961d8890>,,,,,,,,,,,,
339,CC=CCCCCCCCCCCCC(CCC)(CCCCC)c1ccccc1CCCc1ccccc1CCO,<rdkit.Chem.rdchem.Mol object at 0x14e096167900>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",41,Generation_10_Molecule_339,-0.00000,560.951,<rdkit.Chem.rdchem.Mol object at 0x14e09615f350>,,,,,,,,,,,,
340,CCCCCCOCCC(CCc1ccccc1CCc1ccccc1CO)C(=O)CCCC,<rdkit.Chem.rdchem.Mol object at 0x14e09615f120>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",34,Generation_10_Molecule_340,-0.00000,466.70599999999996,<rdkit.Chem.rdchem.Mol object at 0x14e096167660>,,,,,,,,,,,,
