,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,PourPoint,DiffusionCoefficient,Density40C
226,CC(C)OCCCCCCCCC(O)O,<rdkit.Chem.rdchem.Mol object at 0x000001C589612EA0>,"['AddFragment', 'ReplaceAtom', 'RemoveAtom']",15,Generation_7_Molecule_226,-0.26500,218.337,<rdkit.Chem.rdchem.Mol object at 0x000001C589612AB0>,23243,,,,,,,,,,,
227,CC=C(OC)OC=CO,<rdkit.Chem.rdchem.Mol object at 0x000001C589613060>,"['ReplaceBond', 'AddAtom', 'AddAtom']",9,Generation_7_Molecule_227,Atom 15 does not have an assigned atom type!,130.143,<rdkit.Chem.rdchem.Mol object at 0x000001C5896130D0>,15331,,,,,,,,,,,
228,C=CC(C)(CCC)COC,<rdkit.Chem.rdchem.Mol object at 0x000001C589612F80>,"['RemoveAtom', 'RemoveAtom', 'RemoveAtom']",10,Generation_7_Molecule_228,-0.00000,142.242,<rdkit.Chem.rdchem.Mol object at 0x000001C589612DC0>,30130,,,,,,,,,,,
229,COC=C(C)OC,<rdkit.Chem.rdchem.Mol object at 0x000001C589612B20>,"['ReplaceAtom', 'ReplaceBond', 'AddAtom']",7,Generation_7_Molecule_229,-0.31500,102.133,<rdkit.Chem.rdchem.Mol object at 0x000001C589612F10>,29251,,,,,,,,,,,
230,C=CCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C5896133E0>,"['ReplaceAtom', 'AddAtom', 'AddAtom']",5,Generation_7_Molecule_230,0.04500,70.13499999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C5896131B0>,23075,,,,,,,,,,,
231,CCCC(C)(C)CCO,<rdkit.Chem.rdchem.Mol object at 0x000001C589613140>,"['RemoveAtom', 'RemoveAtom', 'RemoveAtom']",9,Generation_7_Molecule_231,0.00000,130.231,<rdkit.Chem.rdchem.Mol object at 0x000001C589612C70>,20754,,,,,,,,,,,
232,C=CCCC(C)CO,<rdkit.Chem.rdchem.Mol object at 0x000001C589613450>,"['ReplaceBond', 'RemoveAtom', 'AddAtom']",8,Generation_7_Molecule_232,0.04500,114.18799999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589612650>,14665,,,,,,,,,,,
233,C=C(C)OC(=C)OC,<rdkit.Chem.rdchem.Mol object at 0x000001C5896137D0>,"['ReplaceBond', 'AddAtom', 'AddAtom']",8,Generation_7_Molecule_233,Atom 17 does not have an assigned atom type!,114.144,<rdkit.Chem.rdchem.Mol object at 0x000001C589613290>,32154,,,,,,,,,,,
234,C=C(C)CC(=O)C=CC,<rdkit.Chem.rdchem.Mol object at 0x000001C5896136F0>,"['ReplaceAtom', 'RemoveAtom', 'RemoveAtom']",9,Generation_7_Molecule_234,-0.00000,124.18299999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589613220>,34793,,,,,,,,,,,
235,CC=CCO,<rdkit.Chem.rdchem.Mol object at 0x000001C589613920>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",5,Generation_7_Molecule_235,-0.00000,72.107,<rdkit.Chem.rdchem.Mol object at 0x000001C5896134C0>,32632,,,,,,,,,,,
236,C=CC(C)OCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589613760>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",7,Generation_7_Molecule_236,0.00000,100.161,<rdkit.Chem.rdchem.Mol object at 0x000001C589613680>,18609,,,,,,,,,,,
237,CCCC=COC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001C589613610>,"['RemoveAtom', 'RemoveAtom', 'ReplaceBond']",9,Generation_7_Molecule_237,Atom 4 does not have an assigned atom type!,130.143,<rdkit.Chem.rdchem.Mol object at 0x000001C5896138B0>,157,,,,,,,,,,,
238,C=C(C)CCCCCC(CC)CCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589613A00>,"['ReplaceBond', 'ReplaceAtom', 'RemoveAtom']",15,Generation_7_Molecule_238,0.00000,210.405,<rdkit.Chem.rdchem.Mol object at 0x000001C5895F2180>,3463,,,,,,,,,,,
239,C=CC(C)(O)CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589613370>,"['ReplaceAtom', 'AddAtom', 'AddAtom']",7,Generation_7_Molecule_239,-0.00000,100.161,<rdkit.Chem.rdchem.Mol object at 0x000001C589613AE0>,8061,,,,,,,,,,,
240,CCCC(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001C589613A70>,"['ReplaceBond', 'RemoveAtom', 'AddAtom']",6,Generation_7_Molecule_240,-0.00000,86.178,<rdkit.Chem.rdchem.Mol object at 0x000001C589613530>,18370,,,,,,,,,,,
241,C=CCCCCCC=CC,<rdkit.Chem.rdchem.Mol object at 0x000001C5896135A0>,"['RemoveAtom', 'ReplaceAtom', 'RemoveAtom']",10,Generation_7_Molecule_241,0.04500,138.254,<rdkit.Chem.rdchem.Mol object at 0x000001C589610580>,28421,,,,,,,,,,,
242,CCCCCC(C)CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589613C30>,"['RemoveAtom', 'RemoveAtom', 'ReplaceBond']",9,Generation_7_Molecule_242,0.00000,128.259,<rdkit.Chem.rdchem.Mol object at 0x000001C589613300>,15918,,,,,,,,,,,
243,C=CC(C)(C)CCCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589613990>,"['RemoveAtom', 'RemoveAtom', 'RemoveAtom']",15,Generation_7_Molecule_243,0.00000,210.405,<rdkit.Chem.rdchem.Mol object at 0x000001C589611E70>,18735,,,,,,,,,,,
244,CC=C(O)OCC,<rdkit.Chem.rdchem.Mol object at 0x000001C589613DF0>,"['ReplaceBond', 'AddAtom', 'AddAtom']",7,Generation_7_Molecule_244,Atom 13 does not have an assigned atom type!,102.133,<rdkit.Chem.rdchem.Mol object at 0x000001C589613D10>,16038,,,,,,,,,,,
245,C=CC(=CCO)CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589613D80>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",8,Generation_7_Molecule_245,-0.00000,112.172,<rdkit.Chem.rdchem.Mol object at 0x000001C589613CA0>,34054,,,,,,,,,,,
246,C=CC=CO,<rdkit.Chem.rdchem.Mol object at 0x000001C589613F40>,"['RemoveAtom', 'ReplaceAtom', 'RemoveAtom']",5,Generation_7_Molecule_246,0.05500,70.091,<rdkit.Chem.rdchem.Mol object at 0x000001C589613B50>,10174,,,,,,,,,,,
247,C=CC=CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589624120>,"['ReplaceAtom', 'AddAtom', 'AddAtom']",5,Generation_7_Molecule_247,-0.00000,68.119,<rdkit.Chem.rdchem.Mol object at 0x000001C589613ED0>,1223,,,,,,,,,,,
248,C=C(C)C(=O)C(O)CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589613E60>,"['ReplaceBond', 'ReplaceAtom', 'RemoveAtom']",9,Generation_7_Molecule_248,-0.00000,128.171,<rdkit.Chem.rdchem.Mol object at 0x000001C589613840>,34029,,,,,,,,,,,
